"","date","new_file_name","time","state","clear_photo","not_coyote","in_color","notes","season","year","site","SurveyID"
"1",2010-11-06,"S10-LPC1-FA10(1).JPG","3:05:19",0,0,NA,NA,"","Fall ",2010,"S10-LPC1","S10-LPC1-FA10"
"2",2010-11-06,"S10-LPC1-FA10(2).JPG","1:45:44",0,0,NA,NA,"","Fall ",2010,"S10-LPC1","S10-LPC1-FA10"
"3",2010-11-06,"S10-LPC1-FA10(3).JPG","1:44:57",0,0,NA,1,"","Fall ",2010,"S10-LPC1","S10-LPC1-FA10"
"4",2010-11-11,"S09-VTW1-FA10(1).JPG","0:48:35",0,0,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"5",2010-11-05,"S09-VTW1-FA10(2).JPG","20:56:56",0,0,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"6",2010-11-03,"S09-VTW1-FA10(3).JPG","0:34:05",0,0,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"7",2010-11-03,"S09-VTW1-FA10(4).JPG","0:33:30",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"8",2010-11-03,"S09-VTW1-FA10(5).JPG","0:32:41",0,1,NA,NA,"A bit blurry","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"9",2010-11-03,"S09-VTW1-FA10(6).JPG","0:32:06",0,0,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"10",2010-11-02,"S09-VTW1-FA10(7).JPG","3:38:20",0,0,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"11",2010-11-02,"S09-VTW1-FA10(8).JPG","3:37:36",0,0,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"12",2010-11-02,"S09-VTW1-FA10(9).JPG","3:37:08",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"13",2010-11-02,"S09-VTW1-FA10(10).JPG","1:11:24",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"14",2010-11-02,"S09-VTW1-FA10(11).JPG","1:10:32",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"15",2010-11-01,"S09-VTW1-FA10(12).JPG","15:24:28",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"16",2010-11-01,"S09-VTW1-FA10(13).JPG","15:23:57",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"17",2010-10-27,"S09-VTW1-FA10(14).JPG","5:19:27",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"18",2010-10-27,"S09-VTW1-FA10(15).JPG","5:17:17",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"19",2010-10-23,"S09-VTW1-FA10(16).JPG","18:55:11",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"20",2010-10-23,"S09-VTW1-FA10(17).JPG","18:54:34",0,1,NA,NA,"","Fall ",2010,"S09-VTW0","S09-VTW0-FA10"
"21",2010-11-03,"S09-KTP1-FA10(1).JPG","22:22:32",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"22",2010-11-03,"S09-KTP1-FA10(2).JPG","22:22:01",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"23",2010-11-03,"S09-KTP1-FA10(3).JPG","22:21:29",0,0,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"24",2010-11-03,"S09-KTP1-FA10(4).JPG","22:20:55",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"25",2010-11-03,"S09-KTP1-FA10(5).JPG","22:20:20",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"26",2010-11-03,"S09-KTP1-FA10(6).JPG","22:19:48",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"27",2010-11-03,"S09-KTP1-FA10(7).JPG","22:18:54",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"28",2010-10-21,"S09-KTP1-FA10(8).JPG","20:09:44",0,1,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"29",2010-10-21,"S09-KTP1-FA10(9).JPG","20:09:16",0,0,NA,NA,"","Fall ",2010,"S09-KTP1","S09-KTP1-FA10"
"30",2010-10-28,"S09-ILC1-FA10(1).JPG","21:28:01",0,1,NA,NA,"","Fall ",2010,"S09-ILC1","S09-ILC1-FA10"
"31",2010-11-07,"S08-WGL2-FA10(1).JPG","19:48:25",0,0,NA,NA,"","Fall ",2010,"S08-WGL2","S08-WGL2-FA10"
"32",2010-11-07,"S08-WGL2-FA10(2).JPG","19:47:47",0,0,NA,NA,"","Fall ",2010,"S08-WGL2","S08-WGL2-FA10"
"33",2010-10-30,"S08-WGL2-FA10(3).JPG","17:38:19",0,0,NA,1,"","Fall ",2010,"S08-WGL2","S08-WGL2-FA10"
"34",2010-11-03,"S08-WGL1-FA10(1).JPG","22:19:13",0,1,NA,NA,"","Fall ",2010,"S08-WGL1","S08-WGL1-FA10"
"35",2010-11-03,"S08-WGL1-FA10(2).JPG","22:16:53",0,1,NA,NA,"","Fall ",2010,"S08-WGL1","S08-WGL1-FA10"
"36",2010-10-21,"S08-WGL1-FA10(3).JPG","21:52:33",0,0,NA,NA,"","Fall ",2010,"S08-WGL1","S08-WGL1-FA10"
"37",2010-10-21,"S08-WGL1-FA10(4).JPG","21:50:54",0,0,NA,NA,"","Fall ",2010,"S08-WGL1","S08-WGL1-FA10"
"38",2010-10-23,"S07-WGL2-FA10(1).JPG","19:04:51",0,1,NA,NA,"","Fall ",2010,"S07-WGL0","S07-WGL0-FA10"
"39",2010-10-23,"S07-WGL2-FA10(2).JPG","19:04:20",0,0,NA,NA,"","Fall ",2010,"S07-WGL0","S07-WGL0-FA10"
"40",2010-11-13,"S07-WGL2-FA10(3).JPG","21:26:10",0,0,NA,NA,"","Fall ",2010,"S07-WGL0","S07-WGL0-FA10"
"41",2010-11-02,"S07-WGL2-FA10(4).JPG","0:06:24",0,0,NA,NA,"","Fall ",2010,"S07-WGL0","S07-WGL0-FA10"
"42",2010-11-15,"S07-SAG1-FA10(1).JPG","2:53:35",0,0,NA,NA,"Looks like lesions on the hind legs but too dark/low res","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"43",2010-11-15,"S07-SAG1-FA10(2).JPG","2:51:56",1,1,NA,NA,"Lesions on hind legs and hair loss on top of tail","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"44",2010-11-15,"S07-SAG1-FA10(3).JPG","2:51:21",1,1,NA,NA,"Lesions on hind legs, hair loss on haunches and top of tail","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"45",2010-11-04,"S07-SAG1-FA10(4).JPG","2:57:14",0,0,NA,NA,"","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"46",2010-11-04,"S07-SAG1-FA10(5).JPG","2:56:01",0,1,NA,NA,"A little far away","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"47",2010-11-04,"S07-SAG1-FA10(6).JPG","2:54:51",0,0,NA,NA,"","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"48",2010-11-02,"S07-SAG1-FA10(7).JPG","5:26:34",0,0,NA,NA,"","Fall ",2010,"S07-SAG1","S07-SAG1-FA10"
"49",2010-11-03,"S06-CBW1-FA10(1).JPG","23:57:18",0,0,NA,NA,"","Fall ",2010,"S06-CBW1","S06-CBW1-FA10"
"50",2010-11-03,"S06-CBW1-FA10(2).JPG","23:56:48",0,0,NA,NA,"","Fall ",2010,"S06-CBW1","S06-CBW1-FA10"
"51",2010-10-22,"S06-CBW1-FA10(3).JPG","4:41:24",0,1,NA,NA,"","Fall ",2010,"S06-CBW1","S06-CBW1-FA10"
"52",2010-10-22,"S06-CBW1-FA10(4).JPG","4:40:23",0,1,NA,NA,"Kind of dark","Fall ",2010,"S06-CBW1","S06-CBW1-FA10"
"53",2010-10-22,"S06-CBW1-FA10(5).JPG","4:39:55",0,0,NA,NA,"","Fall ",2010,"S06-CBW1","S06-CBW1-FA10"
"54",2010-11-14,"S05-SFP1-FA10(1).JPG","21:49:35",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"55",2010-11-14,"S05-SFP1-FA10(2).JPG","21:49:03",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"56",2010-11-14,"S05-SFP1-FA10(3).JPG","7:41:42",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"57",2010-11-14,"S05-SFP1-FA10(4).JPG","1:19:11",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"58",2010-11-14,"S05-SFP1-FA10(5).JPG","1:18:29",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"59",2010-11-09,"S05-SFP1-FA10(6).JPG","20:36:43",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"60",2010-11-04,"S05-SFP1-FA10(7).JPG","22:00:21",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"61",2010-11-04,"S05-SFP1-FA10(8).JPG","21:59:53",0,1,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
"62",2010-11-04,"S05-SFP1-FA10(9).JPG","21:27:23",0,0,NA,NA,"","Fall ",2010,"S05-SFP0","S05-SFP0-FA10"
