"SurveyID","PictureDate","canids","mammals"
"D02-HUP0-FA10",2010-10-13,2,2
"D02-HUP0-FA10",2010-10-14,4,5
"D02-HUP0-FA10",2010-10-15,3,4
"D02-HUP0-FA10",2010-10-16,8,12
"D02-HUP0-FA10",2010-10-17,1,3
"D02-HUP0-FA10",2010-10-18,1,3
"D02-HUP0-FA10",2010-10-19,1,5
"D02-HUP0-FA10",2010-10-20,0,0
"D02-HUP0-FA10",2010-10-21,1,2
"D02-HUP0-FA10",2010-10-22,0,7
"D02-HUP0-FA10",2010-10-23,2,5
"D02-HUP0-FA10",2010-10-24,0,2
"D02-HUP0-FA10",2010-10-25,0,1
"D02-HUP0-FA10",2010-10-26,3,3
"D02-HUP0-FA10",2010-10-27,4,6
"D02-HUP0-FA10",2010-10-28,1,4
"D02-HUP0-FA10",2010-10-29,3,19
"D02-HUP0-FA10",2010-10-30,4,7
"D02-HUP0-FA10",2010-10-31,1,5
"D02-HUP0-FA10",2010-11-01,2,10
"D02-HUP0-FA10",2010-11-02,1,12
"D02-HUP0-FA10",2010-11-03,0,6
"D02-HUP0-FA10",2010-11-04,0,4
"D02-HUP0-FA10",2010-11-05,0,2
"D02-HUP0-FA10",2010-11-06,3,18
"D02-HUP0-FA10",2010-11-07,0,4
"D02-HUP0-FA10",2010-11-08,2,6
"D02-HUP0-FA11",2011-10-07,2,2
"D02-HUP0-FA11",2011-10-08,1,1
"D02-HUP0-FA11",2011-10-09,1,1
"D02-HUP0-FA11",2011-10-10,1,2
"D02-HUP0-FA11",2011-10-11,1,1
"D02-HUP0-FA11",2011-10-12,1,2
"D02-HUP0-FA11",2011-10-13,2,2
"D02-HUP0-FA11",2011-10-14,0,0
"D02-HUP0-FA11",2011-10-15,0,0
"D02-HUP0-FA11",2011-10-17,0,2
"D02-HUP0-FA11",2011-10-18,0,1
"D02-HUP0-FA11",2011-10-19,1,1
"D02-HUP0-FA11",2011-10-20,2,2
"D02-HUP0-FA11",2011-10-21,1,1
"D02-HUP0-FA11",2011-10-22,0,0
"D02-HUP0-FA11",2011-10-24,1,1
"D02-HUP0-FA11",2011-10-25,2,2
"D02-HUP0-FA11",2011-10-26,1,1
"D02-HUP0-FA11",2011-10-27,2,2
"D02-HUP0-FA11",2011-10-28,5,9
"D02-HUP0-FA11",2011-10-29,1,3
"D02-HUP0-FA11",2011-10-30,3,6
"D02-HUP0-FA11",2011-10-31,3,6
"D02-HUP0-FA11",2011-11-01,1,1
"D02-HUP0-FA11",2011-11-02,0,0
"D02-HUP0-FA11",2011-11-03,0,0
"D02-HUP0-FA11",2011-11-04,7,7
"D02-HUP0-FA11",2011-11-05,21,21
"D02-HUP0-FA11",2011-11-06,11,11
"D02-HUP0-FA11",2011-11-07,5,10
"D02-HUP0-FA11",2011-11-08,0,0
"D02-HUP0-FA11",2011-11-09,1,1
"D02-HUP0-FA11",2011-11-10,6,7
"D02-HUP0-FA11",2011-11-11,16,16
"D02-HUP0-FA11",2011-11-12,17,17
"D02-HUP0-FA11",2011-11-13,5,5
