"new_file_name","blur","File_name_order","Mange_signs_present","In_color","Season","Year","Site","propbodyvis","propbodyvismange","severity","confidence","surveyid","site","date"
"D02-JBS1-WI14 (82).JPG",NA,3381,0,0,"Winter",2014,"JBS",0.25,0,"None","","D02-JBS1-WI14","D02-JBS1",""
"D02-JBS1-WI14 (152).JPG",NA,3382,0,1,"Winter",2014,"JBS",0.2,0,"None","","D02-JBS1-WI14","D02-JBS1",""
"D02-JBS1-WI14 (208).JPG",NA,3383,0,1,"Winter",2014,"JBS",0.3,0,"None","","D02-JBS1-WI14","D02-JBS1",""
"D02-JBS1-WI14 (232).JPG",NA,3384,0,1,"Winter",2014,"JBS",0.5,0,"None","","D02-JBS1-WI14","D02-JBS1",""
"D02-JBS1-WI14 (242).JPG",NA,3385,0,1,"Winter",2014,"JBS",0.25,0,"None","","D02-JBS1-WI14","D02-JBS1",""
"D02-MDU1-FA13 (73).JPG",NA,3386,0,0,"Fall",2013,"MDU",0.45,0,"None","","D02-MDU1-FA13","D02-MDU1",""
"D02-MDU1-FA13 (141).JPG",NA,3387,0,0,"Fall",2013,"MDU",0.5,0,"None","","D02-MDU1-FA13","D02-MDU1",""
"D02-MDU1-FA13 (142).JPG",NA,3388,0,0,"Fall",2013,"MDU",0.5,0,"None","","D02-MDU1-FA13","D02-MDU1",""
"D02-MDU1-FA13 (143).JPG",NA,3389,0,0,"Fall",2013,"MDU",0.5,0,"None","","D02-MDU1-FA13","D02-MDU1",""
"D02-MDU1-FA13 (164).JPG",NA,3390,0,0,"Fall",2013,"MDU",0.5,0,"None","","D02-MDU1-FA13","D02-MDU1",""
"D02-MDU1-WI14 (15).JPG",NA,3391,0,0,"Winter",2014,"MDU",0.5,0,"None","","D02-MDU1-WI14","D02-MDU1",""
"D02-MDU1-WI14 (16).JPG",NA,3392,0,0,"Winter",2014,"MDU",0.5,0,"None","","D02-MDU1-WI14","D02-MDU1",""
"D02-MDU1-WI14 (47).JPG",NA,3393,0,0,"Winter",2014,"MDU",0.5,0,"None","","D02-MDU1-WI14","D02-MDU1",""
"D02-MDU1-WI14 (60).JPG",NA,3394,0,0,"Winter",2014,"MDU",0.5,0,"None","","D02-MDU1-WI14","D02-MDU1",""
"D02-MDU1-WI14 (134).JPG",NA,3395,0,1,"Winter",2014,"MDU",0.45,0,"None","","D02-MDU1-WI14","D02-MDU1",""
"D02-MDU1-WI14 (137).JPG",NA,3396,0,0,"Winter",2014,"MDU",0.5,0,"None","","D02-MDU1-WI14","D02-MDU1",""
"D02-RCP1-FA13 (86).JPG",NA,3397,0,0,"Fall",2013,"RCP",0.5,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (87).JPG",NA,3398,0,0,"Fall",2013,"RCP",0.5,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (88).JPG",NA,3399,0,0,"Fall",2013,"RCP",0.5,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (89).JPG",NA,3400,0,0,"Fall",2013,"RCP",0.35,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (90).JPG",NA,3401,0,0,"Fall",2013,"RCP",0.35,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (202).JPG",NA,3402,0,0,"Fall",2013,"RCP",0.4,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (279).JPG",NA,3403,0,0,"Fall",2013,"RCP",0.45,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (326).JPG",NA,3404,0,0,"Fall",2013,"RCP",0.35,0,"None","","D02-RCP1-FA13","D02-RCP1",""
"D02-RCP1-FA13 (327).JPG",NA,3405,0,0,"Fall",2013,"RCP",0.35,0,"None","","D02-RCP1-FA13","D02-RCP1",""
