"","date","new_file_name","species","time","mange_signs_present","clear_photo","not_coyote","season","year","site"
"1",2010-11-06,"S10-LPC1-FA10(1).JPG","Coyote","3:05:19",NA,0,NA,"Fall ",2010,"LPC"
"2",2010-11-06,"S10-LPC1-FA10(2).JPG","Coyote","1:45:44",NA,0,NA,"Fall ",2010,"LPC"
"3",2010-11-06,"S10-LPC1-FA10(3).JPG","Coyote","1:44:57",NA,0,NA,"Fall ",2010,"LPC"
"4",2010-11-11,"S09-VTW1-FA10(1).JPG","Coyote","0:48:35",NA,0,NA,"Fall ",2010,"VTW"
"5",2010-11-05,"S09-VTW1-FA10(2).JPG","Coyote","20:56:56",NA,0,NA,"Fall ",2010,"VTW"
"6",2010-11-03,"S09-VTW1-FA10(3).JPG","Coyote","0:34:05",NA,0,NA,"Fall ",2010,"VTW"
"7",2010-11-03,"S09-VTW1-FA10(4).JPG","Coyote","0:33:30",0,1,NA,"Fall ",2010,"VTW"
"8",2010-11-03,"S09-VTW1-FA10(5).JPG","Coyote","0:32:41",0,1,NA,"Fall ",2010,"VTW"
"9",2010-11-03,"S09-VTW1-FA10(6).JPG","Coyote","0:32:06",NA,0,NA,"Fall ",2010,"VTW"
"10",2010-11-02,"S09-VTW1-FA10(7).JPG","Coyote","3:38:20",NA,0,NA,"Fall ",2010,"VTW"
"11",2010-11-02,"S09-VTW1-FA10(8).JPG","Coyote","3:37:36",NA,0,NA,"Fall ",2010,"VTW"
"12",2010-11-02,"S09-VTW1-FA10(9).JPG","Coyote","3:37:08",0,1,NA,"Fall ",2010,"VTW"
"13",2010-11-02,"S09-VTW1-FA10(10).JPG","Coyote","1:11:24",NA,1,NA,"Fall ",2010,"VTW"
"14",2010-11-02,"S09-VTW1-FA10(11).JPG","Coyote","1:10:32",NA,1,NA,"Fall ",2010,"VTW"
"15",2010-11-01,"S09-VTW1-FA10(12).JPG","Coyote","15:24:28",NA,1,NA,"Fall ",2010,"VTW"
"16",2010-11-01,"S09-VTW1-FA10(13).JPG","Coyote","15:23:57",NA,1,NA,"Fall ",2010,"VTW"
"17",2010-10-27,"S09-VTW1-FA10(14).JPG","Coyote","5:19:27",NA,1,NA,"Fall ",2010,"VTW"
"18",2010-10-27,"S09-VTW1-FA10(15).JPG","Coyote","5:17:17",NA,1,NA,"Fall ",2010,"VTW"
"19",2010-10-23,"S09-VTW1-FA10(16).JPG","Coyote","18:55:11",NA,1,NA,"Fall ",2010,"VTW"
"20",2010-10-23,"S09-VTW1-FA10(17).JPG","Coyote","18:54:34",NA,1,NA,"Fall ",2010,"VTW"
"21",2010-11-03,"S09-KTP1-FA10(1).JPG","Coyote","22:22:32",0,1,NA,"Fall ",2010,"KTP"
"22",2010-11-03,"S09-KTP1-FA10(2).JPG","Coyote","22:22:01",0,1,NA,"Fall ",2010,"KTP"
"23",2010-11-03,"S09-KTP1-FA10(3).JPG","Coyote","22:21:29",NA,0,NA,"Fall ",2010,"KTP"
"24",2010-11-03,"S09-KTP1-FA10(4).JPG","Coyote","22:20:55",0,1,NA,"Fall ",2010,"KTP"
"25",2010-11-03,"S09-KTP1-FA10(5).JPG","Coyote","22:20:20",0,1,NA,"Fall ",2010,"KTP"
