"SurveyID","PictureDate","coyote","fox"
"D02-HUP0-FA10",2010-10-13,0,0
"D02-HUP0-FA10",2010-10-14,0,0
"D02-HUP0-FA10",2010-10-15,0,0
"D02-HUP0-FA10",2010-10-16,0,0
"D02-HUP0-FA10",2010-10-17,0,0
"D02-HUP0-FA10",2010-10-18,0,0
"D02-HUP0-FA10",2010-10-19,0,0
"D02-HUP0-FA10",2010-10-20,0,0
"D02-HUP0-FA10",2010-10-21,0,0
"D02-HUP0-FA10",2010-10-22,0,0
"D02-HUP0-FA10",2010-10-23,0,0
"D02-HUP0-FA10",2010-10-24,0,0
"D02-HUP0-FA10",2010-10-25,0,0
"D02-HUP0-FA10",2010-10-26,0,0
"D02-HUP0-FA10",2010-10-27,0,0
"D02-HUP0-FA10",2010-10-28,0,0
"D02-HUP0-FA10",2010-10-29,0,0
"D02-HUP0-FA10",2010-10-30,0,0
"D02-HUP0-FA10",2010-10-31,0,0
"D02-HUP0-FA10",2010-11-01,0,0
"D02-HUP0-FA10",2010-11-02,0,0
"D02-HUP0-FA10",2010-11-03,0,0
"D02-HUP0-FA10",2010-11-04,0,0
"D02-HUP0-FA10",2010-11-05,0,0
"D02-HUP0-FA10",2010-11-06,0,0
"D02-HUP0-FA10",2010-11-07,0,0
"D02-HUP0-FA10",2010-11-08,0,0
"D02-HUP0-FA11",2011-10-07,0,0
"D02-HUP0-FA11",2011-10-08,0,0
"D02-HUP0-FA11",2011-10-09,0,0
"D02-HUP0-FA11",2011-10-10,0,0
"D02-HUP0-FA11",2011-10-11,0,0
"D02-HUP0-FA11",2011-10-12,0,0
"D02-HUP0-FA11",2011-10-13,0,0
"D02-HUP0-FA11",2011-10-14,0,0
"D02-HUP0-FA11",2011-10-15,0,0
"D02-HUP0-FA11",2011-10-17,0,0
"D02-HUP0-FA11",2011-10-18,0,0
"D02-HUP0-FA11",2011-10-19,0,0
"D02-HUP0-FA11",2011-10-20,0,0
"D02-HUP0-FA11",2011-10-21,0,0
"D02-HUP0-FA11",2011-10-22,0,0
"D02-HUP0-FA11",2011-10-24,0,0
"D02-HUP0-FA11",2011-10-25,0,0
"D02-HUP0-FA11",2011-10-26,0,0
"D02-HUP0-FA11",2011-10-27,0,0
"D02-HUP0-FA11",2011-10-28,0,0
"D02-HUP0-FA11",2011-10-29,0,0
"D02-HUP0-FA11",2011-10-30,0,0
"D02-HUP0-FA11",2011-10-31,0,0
"D02-HUP0-FA11",2011-11-01,0,0
"D02-HUP0-FA11",2011-11-02,0,0
"D02-HUP0-FA11",2011-11-03,0,0
"D02-HUP0-FA11",2011-11-04,0,0
"D02-HUP0-FA11",2011-11-05,0,0
"D02-HUP0-FA11",2011-11-06,0,0
"D02-HUP0-FA11",2011-11-07,0,0
"D02-HUP0-FA11",2011-11-08,0,0
"D02-HUP0-FA11",2011-11-09,0,0
"D02-HUP0-FA11",2011-11-10,0,0
"D02-HUP0-FA11",2011-11-11,0,0
"D02-HUP0-FA11",2011-11-12,0,0
"D02-HUP0-FA11",2011-11-13,0,0
"D02-HUP0-FA11",2011-11-14,0,0
"D02-HUP0-FA11",2011-11-15,0,0
"D02-HUP0-FA11",2011-11-16,0,0
"D02-HUP0-FA11",2011-11-17,0,0
"D02-HUP0-FA12",2012-10-01,0,0
"D02-HUP0-FA12",2012-10-02,0,0
"D02-HUP0-FA12",2012-10-10,0,0
"D02-HUP0-FA12",2012-10-11,0,0
"D02-HUP0-FA12",2012-10-12,0,0
"D02-HUP0-FA12",2012-10-13,0,0
"D02-HUP0-FA12",2012-10-14,0,0
"D02-HUP0-FA12",2012-10-15,0,0
"D02-HUP0-FA12",2012-10-16,0,0
"D02-HUP0-FA12",2012-10-17,0,0
"D02-HUP0-FA12",2012-10-18,0,0
"D02-HUP0-FA12",2012-10-19,0,0
"D02-HUP0-FA12",2012-10-20,0,0
"D02-HUP0-FA12",2012-10-21,0,0
"D02-HUP0-FA12",2012-10-22,0,0
"D02-HUP0-FA12",2012-10-23,0,0
"D02-HUP0-FA12",2012-10-24,0,0
"D02-HUP0-FA12",2012-10-25,0,0
"D02-HUP0-FA12",2012-10-26,0,0
"D02-HUP0-FA12",2012-10-27,0,0
"D02-HUP0-FA12",2012-10-28,0,0
"D02-HUP0-FA12",2012-10-29,0,0
"D02-HUP0-FA12",2012-10-30,0,0
"D02-HUP0-FA12",2012-10-31,0,0
"D02-HUP0-FA12",2012-11-01,0,0
"D02-HUP0-FA12",2012-11-02,0,0
"D02-HUP0-FA12",2012-11-03,0,0
"D02-HUP0-FA12",2012-11-04,0,0
