path,new_file_name,File_name_order,Mange_signs_present,Mange_potential_low_confidence,Clear photo,Blurry,Out_of_frame,Lighting,Too_far_away,Not_coyote,In_color,Whole_body,Multiple_coyotes,Notes,Inspected,Season,Year,Site
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (1).JPG,04-DNP1-FA12 (1).JPG,1,,,0,1,,,,,,,,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (2).JPG,04-DNP1-FA12 (2).JPG,2,,,0,1,,,,,,,1,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (3).JPG,04-DNP1-FA12 (3).JPG,3,,,0,1,,,,,,,,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (4).JPG,04-DNP1-FA12 (4).JPG,4,,,1,,,,,1,,,,Dog,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (5).JPG,04-DNP1-FA12 (5).JPG,5,,,0,1,,,,,,,,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (6).JPG,04-DNP1-FA12 (6).JPG,6,,,0,1,,,,,,,,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (7).JPG,04-DNP1-FA12 (7).JPG,7,,,0,1,,,,,1,,,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (8).JPG,04-DNP1-FA12 (8).JPG,8,,,1,,,,,1,,,,Dog,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-FA12 (9).JPG,04-DNP1-FA12 (9).JPG,9,,,0,1,,,,,,,1,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-DNP1-SP11 (1).JPG,04-DNP1-SP11 (1).JPG,10,,,1,,,,,,,,,,1,,,
P:\PEOPLE\Mason Fidino\coyote photos\mystery_photos\Maureen's edited files\Mystery photos\mystery coyotes\D04-EDW2-WI11 (1).JPG,04-EDW2-WI11 (1).JPG,11,,,0,1,,,,,,,1,,1,,,
