"LocationName","POP10","HU10"
"C04-MBP1",2262.30699694069,885.624402940885
"C05-BEA1",211.772825586345,140.757276555135
"C05-BMP1",57.9588785815306,15.6043134642582
"C05-BMP2",1.91073226092962,1.59227688410802
"C05-EGG1",1582.40476742649,559.844552452358
"C05-EGG2",660.157996151233,231.198603572501
"C06-BEA2",31.8455376821554,9.23520592782508
"C06-HMP1",25.4764301457218,13.375125826504
"D02-BMT1",5853.84673673379,3119.27041596711
"D02-BMT2",11446.8785198517,4070.81508191024
"D02-HUP1",9246.988776772,4051.07084854898
"D02-HUP2",9375.64474900419,4113.48810240437
"D02-JBS1",9340.29620217669,6676.41697506424
"D02-MBS1",0,0
"D02-MBS2",0,0
"D02-MDU1",0,0
"D02-MOP1",11401.6578563435,3736.43693624776
"D02-RCP1",5432.53027320067,2432.99907891747
"D02-SCP1",7041.36683690244,3584.53372150395
"D03-AFP1",7555.03535971689,3035.83510724081
"D03-AMP1",5002.61551449008,2008.17960623684
"D03-CHP1",9252.40251817477,3159.71424882392
"D03-GOM1",5384.12505592254,1912.64299319044
"D03-HOR1",7062.70334715137,3324.03722326477
"D03-MFP1",5899.06740024247,2345.74230566757
"D03-MFP2",5802.57542106651,2302.1139190434
"D03-NPV1",2294.78944537662,991.351588045716
"D03-STB1",12377.4051309247,6799.02229514094
"D04-DNP1",5365.33618869006,2221.54470870737
"D04-EDW1",2423.76387298932,1003.45289236491
"D04-EDW2",2572.80098934254,1057.59030642488
"D04-EDW3",2410.38874716338,994.536141814141
"D04-EVC1",2604.00961627066,1102.81096993338
"D04-EVC2",2551.46447909524,1056.95339567113
"D04-FGP1",3591.53973979422,1435.59683871186
"D04-RDP1",3979.09993338615,1688.76886328505
"D04-ROS1",7090.72742031143,2849.22025642353
"D04-ROS2",7485.29363219394,2961.95345981858
"D05-ADC1",2674.0697991708,1162.36212539876
"D05-BRP1",3319.26039261195,1447.06123227753
"D05-MHC1",2990.61444373182,1125.73975706442
"D05-MIA1",1593.55070561504,634.681566005352
"D05-PRC1",2296.70017763788,881.16602766556
"D06-KCG1",1334.96493963629,532.138934668952
"D07-ASC1",1439.4183032339,533.094300799457
"D07-ASC2",265.273328892427,133.114347511446
"D07-BEC1",623.53562781674,228.014049804283
"D07-BEC2",1442.28440162502,628.949369222656
"D07-NOC1",1358.84909289769,608.568225106044
"D07-PLN1",3163.85416872284,1209.81197654535
"D08-BOR1",1321.58981380962,502.204129247657
"D08-CCC1",1462.34709036522,689.137435442149
"D08-DAW1",1241.97596960441,496.153477088119
"D08-DAW2",2388.09687078511,936.895718609118
"D08-DAW3",1298.34257130197,513.35006743654
"D09-BON1",1190.38619855928,408.578248462161
"D09-BON2",1213.95189644415,429.596303332412
"D09-CLG1",889.445867462722,548.061703509969
"D09-CLG2",867.790901839126,543.603328234638
"D09-RYW1",476.727699101953,179.608832527389
"D09-VTC1",698.691096746764,311.449358531602
"D10-CAN1",297.43732195142,222.918763775154
"D10-CAN2",297.437321951438,222.918763775167
"D10-KEM1",1070.32852149747,511.1208797987
"D10-MAC1",159.546143787626,113.370114148493
"D10-VHC1",390.107836606439,190.754770716128
"J01-BBS1",1046.76282361258,751.554689298959
"J01-CLP1",5397.50018174869,2808.13951281255
"J01-LMP1",3877.83112355626,2324.40579542064
"J01-NOR1",494.242744827207,403.482962433035
"J01-SEP1",13509.8324509044,9687.73101829107
"J01-SKP1",5423.93197802652,3052.07633145879
"J01-TFS1",1781.75783331704,1213.95189644407
"J01-UIC1",4093.74386904228,1861.05322214571
"R02-ALT1",5504.81964373885,2280.77740879658
"R02-DPG1",4958.03176173541,1993.53065890319
"R02-FRP1",4056.48458995333,1627.62543093511
"R02-GFP1",4763.45552649677,2219.63397644622
"R03-AUP1",7808.84429504393,3493.45548373361
"R03-CPG1",6770.67976660524,2966.73029047055
"R03-EUC1",6262.10652981994,2335.55173360961
"R03-MAP1",4786.38431362985,1992.57529277325
"R04-MMW1",883.395215303175,385.967916707804
"R04-MMW2",829.257801243467,373.229701634925
"R04-MMW3",948.360112174763,409.215159215773
"R04-SCH1",1882.70818776943,782.126405473904
"R05-FMG1",693.595810717605,373.548157011823
"R05-GOC1",2172.82103605366,906.005547057405
"R05-MTC1",1063.95941396097,392.01856886739
"R05-STP1",3272.12899684172,1155.03765173187
"R06-OTB1",2254.34561252049,955.684585841783
"R06-SLT1",1899.26786736405,914.922297608472
"R06-SLT2",1944.17007549571,691.68507845646
"R06-YOW1",816.20113079363,363.039129576566
"R07-FSP1",2853.360176322,1348.97697621652
"R07-GOF1",1872.51761571084,726.396714530003
"R07-MMP1",2545.41382693516,967.148979407242
"R07-YHR1",1987.79846212089,815.245764663487
"R08-DAP1",2508.15454784707,920.97294976812
"R08-PAP1",2186.83307263439,953.455398204074
"R08-VLG1",2226.32153935993,1054.08729727956
"R08-WBK1",1564.88972170148,677.673041876426
"R09-BLW1",1736.53716980843,580.225696569037
"R09-CTG1",1011.73273216243,428.640937201963
"R09-CTG2",1156.94838399289,487.236726537056
"R09-CTG3",305.717161748736,118.146944800813
"R09-LIM1",1920.28592223386,597.10383154038
"R09-LIM2",2294.47098999966,833.397721142139
"R09-SMI1",1596.41680400675,605.383671337888
"R10-FRM1",1183.06172489227,464.944850159546
"R10-FRM2",0.636910753643221,0
"R10-WCP1",685.315970920048,195.213145991631
"R10-WCP2",28.9794392907732,12.101304319224
"R10-WCP3",39.80692210271,17.1965903483707
"R10-WDW1",2030.15302723798,525.132916378891
"R10-WDW2",2256.25634478161,570.353579887631
"S02-BNS1",4195.9680450013,2338.73628737777
"S02-BRI1",6832.46010970712,1128.92431083252
"S02-CPR1",1939.39324484337,726.078259153184
"S02-MCP1",5195.28101746862,1842.90126566697
"S02-PIP1",4755.1756867003,1319.67908154876
"S02-PLP1",6014.34824665291,2498.91934191917
"S02-TNE1",2164.85965163385,1107.90625596266
"S02-TNW1",2870.23831129358,1535.2733716572
"S03-ARP1",5001.6601483615,1552.46996200575
"S03-JKP1",2211.35413664927,1095.48649626634
"S03-JKP2",2028.56075035415,1177.01107273296
"S03-LCP1",1804.36816507145,854.097320635655
"S03-PSP1",6399.36079723081,1967.09886262726
"S03-VIP1",4249.1500929307,1351.20616385408
"S03-WAP1",3269.89980920496,1058.54567255525
"S04-HAP1",4869.18271160156,1963.5958534817
"S04-OTW1",2563.8842387907,1006.31899075626
"S04-SSP1",2162.94891937271,813.653487779341
"S04-VFP1",4099.15761044746,1519.98751356943
"S04-WEP1",4798.48561794724,1860.41631139154
"S05-LNC1",2293.83407924608,988.485489654287
"S05-RES1",981.161015987413,356.351566663393
"S05-SFP1",617.803431033997,274.50853482026
"S05-SFP2",464.62639478276,205.722173426774
"S05-SFP3",202.856075035386,100.313443698817
"S06-CBW1",627.357092338579,233.109335833421
"S06-CBW2",683.086783282467,263.362596631515
"S07-ARG1",204.448351919457,78.0215673212882
"S07-ARG2",24.202608638442,8.59829517418335
"S07-SAG1",34.0747253199188,11.4643935655802
"S07-STJ1",4.45837527550234,1.91073226092958
"S07-WGL1",242.981452514897,111.140926510746
"S07-WGL2",242.981452514904,111.140926510749
"S08-WGL1",222.600308398341,75.4739243067335
"S08-WGL2",95.5366130464849,31.8455376821616
"S09-ILC1",204.12989654263,69.4232721471035
"S09-KTP1",45.8575742623083,18.1519564788304
"S09-SMC1",1181.78790338511,388.834015099224
"S09-VTW1",183.11184167241,75.1554689298936
"S09-VTW2",183.111841672429,75.1554689299014
"S10-ILC1",234.383157340743,79.6138442054154
"S10-LEW1",466.537127043597,27.0687070298333
"S10-LPC1",1790.35612849108,779.260307082477
"S10-LPP1",271.960891805708,91.3966931478199
"S10-LPP2",288.520571400361,99.6765329451579
