"locationID","fullName","utmEast","utmNorth","utmZone","locationAbbr","areaID","landOwnerID","defaultTimeZone"
1862,"St. Boniface",444847,4646615,"16N","D03-STB1",1,257,"America/Chicago"
1863,"St. Adalbert Cemetery",433486,4651062,"16N","D05-ADC1",1,257,"America/Chicago"
1864,"All Saints Cemetery",425518,4656746,"16N","D07-ASC1",1,257,"America/Chicago"
1865,"All Saints Cemetery",426640,4656804,"16N","D07-ASC2",1,257,"America/Chicago"
1866,"Mt. Carmel",424431,4635651,"16N","R05-MTC1",1,257,"America/Chicago"
1867,"Resurrection Cemetery",431534,4623607,"16N","S05-RES1",1,257,"America/Chicago"
1868,"St. James Cemetery",422440,4616686,"16N","S07-STJ1",1,257,"America/Chicago"
1869,"Schroeder Park",429577,4634101,"16N","R04-SCH1",1,258,"America/Chicago"
1870,"Bloomingdale Trail",444456,4640484,"16N","D02-BMT1",1,259,"America/Chicago"
1871,"Bloomingdale Trail",440629,4640447,"16N","D02-BMT2",1,259,"America/Chicago"
1872,"Humboldt Park",441984,4639557,"16N","D02-HUP1",1,259,"America/Chicago"
1873,"Humboldt Park",442021,4639560,"16N","D02-HUP2",1,259,"America/Chicago"
1874,"Jarvis BS",446955,4644300,"16N","D02-JBS1",1,259,"America/Chicago"
1875,"Montrose Bird Sanctuary",447564,4645804,"16N","D02-MBS1",1,259,"America/Chicago"
1876,"Montrose Bird Sanctuary",447546,4645939,"16N","D02-MBS2",1,259,"America/Chicago"
1877,"Montrose Dunes",447542,4646060,"16N","D02-MDU1",1,259,"America/Chicago"
1878,"Mozart Park",439938,4640991,"16N","D02-MOP1",1,259,"America/Chicago"
1879,"Richard Clark Park",442530,4643467,"16N","D02-RCP1",1,259,"America/Chicago"
1880,"Senior Citizen Memorial Park",443127,4641452,"16N","D02-SCP1",1,259,"America/Chicago"
1881,"Athletic Field Park",440609,4644105,"16N","D03-AFP1",1,259,"America/Chicago"
1882,"Ashmore Park",438005,4646551,"16N","D03-AMP1",1,259,"America/Chicago"
1883,"Chopin Park",436807,4643667,"16N","D03-CHP1",1,259,"America/Chicago"
1884,"Gompers Park",439467,4647289,"16N","D03-GOM1",1,259,"America/Chicago"
1885,"Horner Park",442425,4645302,"16N","D03-HOR1",1,259,"America/Chicago"
1886,"Mayfair Park",438554,4645949,"16N","D03-MFP1",1,259,"America/Chicago"
1887,"Mayfair Park",438478,4645958,"16N","D03-MFP2",1,259,"America/Chicago"
1888,"Dunham Park",435016,4646204,"16N","D04-DNP1",1,259,"America/Chicago"
1889,"Forest Glen Park",437490,4647531,"16N","D04-FGP1",1,259,"America/Chicago"
1890,"Rosedale Park",434928,4648923,"16N","D04-RDP1",1,259,"America/Chicago"
1891,"Rosehill Cemetery",443025,4648618,"16N","D04-ROS1",1,259,"America/Chicago"
1892,"Rosehill Cemetery",442901,4648645,"16N","D04-ROS2",1,259,"America/Chicago"
1893,"Brooks Park",433167,4651141,"16N","D05-BRP1",1,259,"America/Chicago"
1894,"Burnham Bird Sanctuary",449319,4633118,"16N","J01-BBS1",1,259,"America/Chicago"
1895,"Clybourn Park",445913,4640354,"16N","J01-CLP1",1,259,"America/Chicago"
1896,"Lake Meadows Park",449308,4631876,"16N","J01-LMP1",1,259,"America/Chicago"
1897,"Northerly Island",449545,4634500,"16N","J01-NOR1",1,259,"America/Chicago"
1898,"Seward Park",446999,4639027,"16N","J01-SEP1",1,259,"America/Chicago"
1899,"Skinner Park",445154,4636654,"16N","J01-SKP1",1,259,"America/Chicago"
1900,"31st st",449500,4632347,"16N","J01-TFS1",1,259,"America/Chicago"
1901,"Altgeld Park",442607,4636103,"16N","R02-ALT1",1,259,"America/Chicago"
1902,"Douglas Park golf course",441926,4634510,"16N","R02-DPG1",1,259,"America/Chicago"
1903,"Franklin Park",439183,4634676,"16N","R02-FRP1",1,259,"America/Chicago"
1904,"Garfield Park",440717,4637147,"16N","R02-GFP1",1,259,"America/Chicago"
1905,"Austin Park",436203,4637589,"16N","R03-AUP1",1,259,"America/Chicago"
1906,"Columbus Park golf course",435929,4636259,"16N","R03-CPG1",1,259,"America/Chicago"
1907,"Burnham - 47th St NS",450739,4629074,"16N","S02-BNS1",1,259,"America/Chicago"
1908,"Brighton Park",442042,4631036,"16N","S02-BRI1",1,259,"America/Chicago"
1909,"Canal Port Riverwalk",444272,4632517,"16N","S02-CPR1",1,259,"America/Chicago"
1910,"McKinley Park",443849,4630690,"16N","S02-MCP1",1,259,"America/Chicago"
1911,"Piotrowski Park",439385,4631521,"16N","S02-PIP1",1,259,"America/Chicago"
1912,"Palmisano Park",446141,4632666,"16N","S02-PLP1",1,259,"America/Chicago"
1913,"39th st east",450172,4630663,"16N","S02-TNE1",1,259,"America/Chicago"
1914,"39th st west",450118,4630397,"16N","S02-TNW1",1,259,"America/Chicago"
1915,"Archer Park",439022,4628447,"16N","S03-ARP1",1,259,"America/Chicago"
1916,"Jackson Park 1 (Wooded Island)",451553,4625766,"16N","S03-JKP1",1,259,"America/Chicago"
1917,"Jackson Park 2 (Bobolink Meadow)",451796,4626151,"16N","S03-JKP2",1,259,"America/Chicago"
1918,"LeClaire Park",437635,4629399,"16N","S03-LCP1",1,259,"America/Chicago"
1919,"Pasteur Park",439199,4626503,"16N","S03-PSP1",1,259,"America/Chicago"
1920,"Vittum Park",437876,4628109,"16N","S03-VIP1",1,259,"America/Chicago"
1921,"Walnut Park",440288,4629118,"16N","S03-WAP1",1,259,"America/Chicago"
1922,"Hale Park",435234,4625682,"16N","S04-HAP1",1,259,"America/Chicago"
1923,"Stars and Stripes Park",433760,4627804,"16N","S04-SSP1",1,259,"America/Chicago"
1924,"Valley Forge Park",433888,4626105,"16N","S04-VFP1",1,259,"America/Chicago"
1925,"Wentworth Park",435111,4626634,"16N","S04-WEP1",1,259,"America/Chicago"
1926,"Edgebrook Woods FP",436694,4648962,"16N","D04-EDW1",1,1,"America/Chicago"
1927,"Edgebrook Woods",436637,4648897,"16N","D04-EDW2",1,1,"America/Chicago"
1928,"Edgebrook Woods",436665,4649055,"16N","D04-EDW3",1,1,"America/Chicago"
1929,"Edgebrook Volunteer Center",436420,4649014,"16N","D04-EVC1",1,1,"America/Chicago"
1930,"Edgebrook Volunteer Center",436452,4649135,"16N","D04-EVC2",1,1,"America/Chicago"
1931,"Miami Woods",434129,4652772,"16N","D05-MIA1",1,1,"America/Chicago"
1932,"Beck Lake",426772,4658894,"16N","D07-BEC1",1,1,"America/Chicago"
1933,"Beck Lake",427405,4660671,"16N","D07-BEC2",1,1,"America/Chicago"
1934,"Northfield Oakwood Cemetery",427273,4660625,"16N","D07-NOC1",1,1,"America/Chicago"
1935,"Dam no. 1 woods",426250,4663690,"16N","D08-DAW1",1,1,"America/Chicago"
1936,"Dam no. 1 woods",425502,4665194,"16N","D08-DAW2",1,1,"America/Chicago"
1937,"Dam No. 1 Woods",426125,4664126,"16N","D08-DAW3",1,1,"America/Chicago"
1938,"Miller Meadow",431043,4633589,"16N","R04-MMW1",1,1,"America/Chicago"
1939,"Millers Meadow",430931,4633766,"16N","R04-MMW2",1,1,"America/Chicago"
1940,"Ottawa Woods",433244,4629563,"16N","S04-OTW1",1,1,"America/Chicago"
1941,"Columbia Woods",425314,4619769,"16N","S06-CBW1",1,1,"America/Chicago"
1942,"Columbia Woods",425770,4620051,"16N","S06-CBW2",1,1,"America/Chicago"
1943,"Sagawau",422039,4616369,"16N","S07-SAG1",1,1,"America/Chicago"
