"","site","SP10","SU10","FA10","WI11","SP11","SU11","FA11","WI12","SP12","SU12","FA12","WI13","SP13"
"1","D02-HUP0",1,1,1,1,1,1,3,1,1,1,1,1,1
"2","D02-MOP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"3","D02-RCP1",1,1,2,1,1,2,2,1,2,1,2,2,2
"4","D02-SCP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"5","D03-AFP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"6","D03-AMP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"7","D03-CHP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"8","D03-MFP0",1,1,1,1,1,1,1,1,1,1,1,1,1
"9","D04-DNP1",1,1,1,1,2,1,1,1,1,1,2,1,1
"10","D04-EDW0",1,1,1,1,1,2,2,1,2,1,1,2,2
"11","D04-FGP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"12","D04-RDP1",1,1,1,1,1,1,1,1,1,1,1,1,1
"13","D05-ADC1",1,1,1,1,1,1,2,1,1,1,1,1,1
"14","D05-BRP1",1,1,1,1,1,2,1,1,1,1,1,1,1
"15","D05-MIA1",1,3,1,1,1,1,2,1,1,1,1,1,2
"16","D05-PRC1",1,2,1,2,1,3,2,2,1,2,2,1,1
"17","D06-KCG1",1,1,1,1,3,1,3,2,1,1,2,1,1
"18","D07-ASC0",1,1,1,1,1,3,3,1,2,2,1,1,2
"19","D07-BEC0",3,2,2,2,2,2,2,1,1,1,2,1,3
"20","D07-NOC1",2,2,3,2,1,2,3,1,3,3,2,1,3
"21","D07-PLN1",1,1,1,1,1,1,1,1,1,1,1,1,1
"22","D08-BOR1",1,1,1,1,1,1,1,1,1,1,1,1,1
"23","D08-CCC1",1,1,3,2,2,1,2,2,2,1,2,3,2
"24","D08-DAW0",2,2,2,2,1,2,1,2,2,2,2,1,1
"25","D08-DAW2",2,2,1,3,3,2,2,1,2,1,2,3,1
"26","D09-BON0",1,2,2,3,1,1,1,1,1,1,1,1,1
"27","D09-CLG0",1,1,2,3,1,2,2,2,2,1,3,2,1
"28","D09-RYW1",1,2,1,1,3,1,2,2,2,1,2,2,3
"29","D09-VTC1",1,1,1,2,1,1,1,1,1,1,1,1,1
"30","D10-CAN0",1,1,2,1,1,1,2,2,1,1,2,2,1
"31","D10-KEM1",1,2,1,3,1,1,1,1,1,1,1,1,1
"32","D10-MAC1",1,3,1,1,1,1,1,2,1,1,1,1,2
"33","D10-VHC1",1,1,1,1,1,1,2,2,2,1,2,2,2
