,2.5%,50%,97.5%,95BCI_excludes_zero
psi - intercept,-1.53,-1.11,-0.7,1
psi - urb 1,-0.73,-0.6,-0.47,1
psi - urb 2,-0.4,-0.2,0,0
psi - urb 1x2,0.08,0.16,0.24,1
psi - AR(1),1.91,2.38,2.9,1
rho - intercept,-0.5,-0.22,0.05,0
rho - temperature,-0.47,-0.19,0.09,0
omega - intercept,-1.84,-1.24,-0.63,1
omega - urb 1,-0.22,0.11,0.44,0
omega - urb 2,-0.47,0.07,0.55,0
omega - urb 1x2,-0.57,-0.25,-0.03,1
omega - AR(1),0.5,1.58,2.66,1
gamma - intercept,-2.81,-2.49,-2.19,1
gamma - blur,0.06,0.45,0.84,1
gamma - in color,0.76,1.17,1.59,1
gamma - proportion body visible,0.83,1.06,1.32,1
sd_psi,0.43,0.64,1.01,0
sd_rho,0.35,0.49,0.74,0
sd_omega,0.41,0.64,1.07,0
psi_ranef[1],-0.12,0.6,1.44,0
psi_ranef[2],-0.79,0.11,1.09,0
psi_ranef[3],-0.95,-0.11,0.7,0
psi_ranef[4],-0.47,0.26,1.01,0
psi_ranef[5],-1.03,-0.25,0.53,0
psi_ranef[6],-0.78,0.02,0.85,0
psi_ranef[7],-0.24,0.47,1.2,0
psi_ranef[8],-0.84,-0.18,0.47,0
psi_ranef[9],-1.17,-0.5,0.14,0
psi_ranef[10],-1.32,-0.63,0.03,0
psi_ranef[11],0.2,0.84,1.55,0
psi_ranef[12],-0.81,-0.16,0.46,0
psi_ranef[13],-0.89,-0.23,0.44,0
psi_ranef[14],-1.43,-0.63,0.16,0
psi_ranef[15],-0.12,0.53,1.22,0
psi_ranef[16],-1.18,-0.42,0.33,0
rho_ranef[1],-0.65,-0.11,0.42,0
rho_ranef[2],-0.68,-0.11,0.45,0
rho_ranef[3],-0.29,0.16,0.64,0
rho_ranef[4],-0.64,-0.1,0.44,0
rho_ranef[5],-0.63,-0.19,0.25,0
rho_ranef[6],-1.04,-0.47,0.06,0
rho_ranef[7],-0.52,-0.14,0.23,0
rho_ranef[8],-0.19,0.29,0.78,0
rho_ranef[9],-0.23,0.18,0.6,0
rho_ranef[10],-0.13,0.43,1,0
rho_ranef[11],-0.39,-0.01,0.37,0
rho_ranef[12],-0.13,0.37,0.89,0
rho_ranef[13],-0.59,-0.18,0.23,0
rho_ranef[14],-0.66,-0.09,0.47,0
rho_ranef[15],0,0.39,0.79,0
rho_ranef[16],-1.04,-0.44,0.12,0
omega_ranef[1],-0.87,0.24,1.47,0
omega_ranef[2],-1.27,-0.1,1.02,0
omega_ranef[3],-1.1,0.03,1.11,0
omega_ranef[4],-0.39,0.52,1.54,0
omega_ranef[5],-1.34,-0.26,0.71,0
omega_ranef[6],-1.18,-0.09,0.97,0
omega_ranef[7],-1.17,-0.22,0.67,0
omega_ranef[8],-1.19,-0.27,0.57,0
omega_ranef[9],-1.62,-0.49,0.44,0
omega_ranef[10],-1.21,-0.15,0.85,0
omega_ranef[11],-1.35,-0.35,0.56,0
omega_ranef[12],-0.37,0.4,1.21,0
omega_ranef[13],-0.46,0.42,1.38,0
omega_ranef[14],-0.62,0.31,1.34,0
omega_ranef[15],-1.1,-0.19,0.65,0
omega_ranef[16],-1.05,-0.04,0.94,0
n_coyote[1],33,46,63,0
n_coyote[2],42,55,73,0
n_coyote[3],47,56,66,0
n_coyote[4],54,63,72,0
n_coyote[5],48,56,67,0
n_coyote[6],48,59,71,0
n_coyote[7],61,68,76,0
n_coyote[8],55,61,67,0
n_coyote[9],45,51,58,0
n_coyote[10],37,43,51,0
n_coyote[11],62,69,76,0
n_coyote[12],56,61,67,0
n_coyote[13],50,56,63,0
n_coyote[14],38,46,58,0
n_coyote[15],58,64,70,0
n_coyote[16],44,54,65,0
n_mange[1],5,14,29,0
n_mange[2],6,16,31,0
n_mange[3],8,18,32,0
n_mange[4],18,28,41,0
n_mange[5],9,18,30,0
n_mange[6],8,18,32,0
n_mange[7],10,18,30,0
n_mange[8],9,16,25,0
n_mange[9],4,11,20,0
n_mange[10],5,11,20,0
n_mange[11],7,15,26,0
n_mange[12],18,25,33,0
n_mange[13],17,25,37,0
n_mange[14],12,20,32,0
n_mange[15],12,19,28,0
n_mange[16],8,17,29,0
